player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Igor Paradin,ru RUS,DF,Teplice,22-125,1998,2,1,112,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
David Pavelka,cz CZE,MF,Sparta Prague,29-240,1991,6,6,539,1,0,0,0,5,1,0.17,0.00,0.17,0.17,0.17
Pedrito,es ESP,MF,Fastav Zlín,24-339,1996,5,0,81,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Luděk Pernica,cz CZE,DF,Viktoria Plzeň,30-211,1990,4,4,355,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jakub Pesek,cz CZE,MF,Slovan Liberec,27-203,1993,11,8,661,1,2,0,0,4,1,0.14,0.27,0.41,0.14,0.41
Adam Petrák,cz CZE,MF,Příbram,21-146,1999,2,2,133,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Michal Petráň,cz CZE,MF,FK Pardubice,28-201,1992,11,1,237,1,0,0,0,0,0,0.38,0.00,0.38,0.38,0.38
Milan Petržela,cz CZE,MF,Slovácko,37-208,1983,13,12,895,1,0,0,0,1,0,0.10,0.00,0.10,0.10,0.10
Lukáš Pfeifer,cz CZE,FW,FK Pardubice,21-203,1999,11,6,487,1,0,0,0,0,0,0.18,0.00,0.18,0.18,0.18
Bartosz Pikul,pl POL,MF,Opava,23-072,1997,6,1,172,1,0,0,0,2,0,0.52,0.00,0.52,0.52,0.52
Václav Pilař,cz CZE,"FW,MF",Jablonec,32-092,1988,10,9,668,2,0,0,0,1,0,0.27,0.00,0.27,0.27,0.27
Tomáš Pilík,cz CZE,"FW,MF",Příbram,32-024,1988,13,11,969,2,0,2,2,3,0,0.19,0.00,0.19,0.00,0.00
Srđan Plavšić,rs SRB,MF,Sparta Prague,25-041,1995,7,3,292,0,1,0,0,0,0,0.00,0.31,0.31,0.00,0.31
Dominik Plechaty,cz CZE,DF,Sparta Prague,21-270,1999,8,7,600,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Dominik Plestil,cz CZE,MF,Jablonec,21-157,1999,10,5,358,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jakub Podaný,cz CZE,"DF,MF",Jablonec,33-212,1987,11,9,793,0,1,0,0,2,0,0.00,0.11,0.11,0.00,0.11
Jakub Pokorný,cz CZE,DF,Baník Ostrava,24-124,1996,11,9,810,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Lukáš Pokorný,cz CZE,DF,Bohemians 1905,27-192,1993,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Matěj Polidar,cz CZE,FW,Sparta Prague,21-024,1999,5,2,243,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Roman Potočný,cz CZE,FW,Baník Ostrava,29-263,1991,10,7,644,2,0,1,1,5,0,0.28,0.00,0.28,0.14,0.14
Florent Poulolo,fr FRA,DF,Sigma Olomouc,24-011,1997,11,8,737,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Marios Pourzitidis,gr GRE,DF,Slovan Liberec,21-250,1999,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jakub Považanec,sk SVK,MF,Jablonec,29-348,1991,14,14,"1,228",1,1,0,0,2,0,0.07,0.07,0.15,0.07,0.15
Tomáš Poznar,cz CZE,FW,Fastav Zlín,32-108,1988,11,11,930,5,2,2,2,5,1,0.48,0.19,0.68,0.29,0.48
Jakub Přichystal,cz CZE,FW,Zbrojovka Brno,25-080,1995,12,11,875,2,0,0,0,2,0,0.21,0.00,0.21,0.21,0.21
Václav Procházka,cz CZE,DF,Fastav Zlín,36-250,1984,13,11,"1,008",0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Jan Prosek,cz CZE,DF,FK Pardubice,25-356,1995,9,9,800,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Lukáš Provod,cz CZE,MF,Slavia Prague,24-082,1996,11,9,769,3,3,0,0,2,0,0.35,0.35,0.70,0.35,0.70
Matěj Pulkrab,cz CZE,FW,Bohemians 1905,23-235,1997,6,5,396,1,1,1,1,1,0,0.23,0.23,0.45,0.00,0.23
David Puškáč,cz CZE,FW,Bohemians 1905,27-244,1993,5,5,392,1,1,0,0,0,0,0.23,0.23,0.46,0.23,0.46
Kristi Qose,al ALB,"DF,MF",Karviná,25-217,1995,14,14,"1,146",3,0,2,2,2,0,0.24,0.00,0.24,0.08,0.08
Michael Rabušic,cz CZE,FW,Slovan Liberec,31-118,1989,12,6,579,6,1,4,4,2,0,0.93,0.16,1.09,0.31,0.47
Dominik Radić,hr CRO,FW,Sigma Olomouc,24-140,1996,1,0,12,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Matěj Radosta,cz CZE,DF,Teplice,19-248,2001,10,3,404,1,0,0,0,1,0,0.22,0.00,0.22,0.22,0.22
Matej Rakovan,sk SVK,GK,Fastav Zlín,30-305,1990,1,0,46,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tomas Rataj,cz CZE,DF,Opava,17-298,2003,6,2,184,1,0,0,0,1,0,0.49,0.00,0.49,0.49,0.49
Michal Reichl,cz CZE,GK,Sigma Olomouc,28-121,1992,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Petr Reinberk,cz CZE,MF,Slovácko,31-235,1989,12,11,"1,008",1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18
Rudolf Reiter,cz CZE,MF,Baník Ostrava,26-107,1994,3,1,98,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Rudolf Reiter,cz CZE,MF,Zbrojovka Brno,26-107,1994,5,3,227,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jakub Rezek,cz CZE,MF,Slovácko,22-229,1998,2,0,24,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jan Rezek,cz CZE,"FW,MF",Příbram,38-253,1982,13,13,"1,125",1,0,0,0,3,0,0.08,0.00,0.08,0.08,0.08
Jakub Řezníček,cz CZE,FW,Teplice,32-232,1988,10,7,584,1,0,0,1,3,0,0.15,0.00,0.15,0.15,0.15
Jan Reznicek,cz CZE,MF,Opava,28-052,1992,7,5,479,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Radim Řezník,cz CZE,DF,Viktoria Plzeň,31-359,1989,7,6,468,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Imad Rondić,ba BIH,MF,Slovan Liberec,21-332,1999,10,3,434,1,1,1,1,2,0,0.21,0.21,0.41,0.00,0.21
Antonín Růsek,cz CZE,FW,Zbrojovka Brno,21-297,1999,13,11,971,2,0,0,0,2,1,0.19,0.00,0.19,0.19,0.19
Adam Rychly,cz CZE,MF,Opava,22-110,1998,2,0,92,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Michal Sáček,cz CZE,MF,Sparta Prague,24-116,1996,10,9,818,0,2,0,0,2,0,0.00,0.22,0.22,0.00,0.22
Lukáš Sadílek,cz CZE,MF,Slovácko,24-235,1996,13,13,"1,084",3,5,0,0,0,0,0.25,0.42,0.66,0.25,0.66
Michal Sadílek,cz CZE,"DF,FW",Slovan Liberec,21-227,1999,6,5,436,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Lee Sanghyuk,kr KOR,MF,FK Pardubice,20-360,2000,3,0,26,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Eduardo Santos,br BRA,DF,Karviná,23-046,1997,14,13,"1,201",1,0,0,0,2,0,0.07,0.00,0.07,0.07,0.07
Ondřej Šašinka,cz CZE,FW,Baník Ostrava,22-298,1998,10,4,359,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Ivan Schranz,sk SVK,"FW,MF",Jablonec,27-122,1993,13,13,"1,096",6,0,1,1,4,0,0.49,0.00,0.49,0.41,0.41
Till Schumacher,de GER,DF,Bohemians 1905,23-034,1997,11,9,820,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Adam Ščudla,cz CZE,MF,Opava,19-016,2001,5,0,107,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jan Sedlák,cz CZE,DF,Zbrojovka Brno,26-080,1994,13,13,"1,102",0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Martin Šejvl,cz CZE,DF,FK Pardubice,28-330,1992,13,13,"1,170",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Michal Ševčík,cz CZE,MF,Zbrojovka Brno,18-153,2002,1,0,25,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Petr Ševčík,cz CZE,MF,Slavia Prague,26-254,1994,8,7,591,0,4,0,0,0,0,0.00,0.61,0.61,0.00,0.61
Jan Shejbal,cz CZE,MF,Teplice,26-268,1994,7,5,422,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ewerton Paixao da Silva,br BRA,FW,FK Pardubice,24-016,1996,10,4,478,0,1,0,1,0,0,0.00,0.19,0.19,0.00,0.19
Abdallah Sima,sn SEN,FW,Slavia Prague,19-210,2001,8,6,564,7,1,0,0,2,0,1.12,0.16,1.28,1.12,1.28
David Šimek,cz CZE,DF,Mladá Boleslav,22-333,1998,4,1,139,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Samuel Šimek,cz CZE,MF,FK Pardubice,18-276,2002,1,1,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Dominik Simerský,cz CZE,DF,Fastav Zlín,28-106,1992,11,10,866,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Patrik Šimko,sk SVK,DF,Slovácko,29-189,1991,9,6,527,0,1,0,0,0,0,0.00,0.17,0.17,0.00,0.17
Martin Šindelář,cz CZE,DF,Karviná,29-357,1991,13,13,"1,170",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Michal Škoda,cz CZE,FW,Mladá Boleslav,32-318,1988,10,6,531,3,1,0,1,1,0,0.51,0.17,0.68,0.51,0.68
Lukáš Skovajsa,sk SVK,DF,České Budĕjov.,26-292,1994,10,10,839,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Martin Sladký,cz CZE,MF,Sigma Olomouc,28-318,1992,5,3,269,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jiří Sláma,cz CZE,MF,FK Pardubice,22-005,1999,11,1,282,0,1,0,0,1,0,0.00,0.32,0.32,0.00,0.32
Patrik Slamena,cz CZE,FW,Fastav Zlín,20-190,2000,5,1,96,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Vojtech Smid,cz CZE,DF,Zbrojovka Brno,19-332,2001,1,0,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
David Smilek,cz CZE,MF,Opava,18-259,2002,1,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Vojtěch Smrž,cz CZE,MF,Karviná,23-359,1997,11,4,346,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Karel Soldát,cz CZE,MF,Příbram,27-067,1993,10,9,815,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Tomáš Solil,cz CZE,MF,FK Pardubice,20-347,2000,13,13,"1,148",0,2,0,0,3,0,0.00,0.16,0.16,0.00,0.16
Filip Souček,cz CZE,MF,Sparta Prague,20-117,2000,8,4,360,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Vojtěch Šrom,cz CZE,GK,Opava,32-255,1988,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jaromir Srubek,cz CZE,MF,Slovácko,20-114,2000,3,1,113,1,0,0,0,1,0,0.80,0.00,0.80,0.80,0.80
Nicolae Stanciu,ro ROU,MF,Slavia Prague,27-251,1993,12,11,873,3,3,1,1,1,0,0.31,0.31,0.62,0.21,0.52
Jindřich Staněk,cz CZE,GK,Viktoria Plzeň,24-261,1996,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
David Štěpánek,cz CZE,MF,Jablonec,23-289,1997,5,3,265,0,1,0,0,2,0,0.00,0.34,0.34,0.00,0.34
Peter Štepanovský,sk SVK,"DF,MF",Zbrojovka Brno,33-001,1988,12,11,833,2,0,0,0,5,1,0.22,0.00,0.22,0.22,0.22
Lukáš Štetina,sk SVK,DF,Sparta Prague,29-169,1991,2,2,180,0,1,0,0,2,0,0.00,0.50,0.50,0.00,0.50
Patrizio Stronati,cz CZE,DF,Baník Ostrava,26-057,1994,8,8,720,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jan Šulc,cz CZE,MF,Slovan Liberec,22-225,1998,2,0,25,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pavel Šulc,cz CZE,MF,České Budĕjov.,20-015,2000,4,4,339,1,0,0,0,1,0,0.27,0.00,0.27,0.27,0.27
Šimon Šumbera,cz CZE,MF,Zbrojovka Brno,30-008,1991,12,8,642,0,1,0,0,1,0,0.00,0.14,0.14,0.00,0.14
Dominik Šup,cz CZE,MF,Teplice,23-351,1997,1,0,4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jakub Šural,cz CZE,MF,Zbrojovka Brno,24-196,1996,10,8,765,1,0,0,0,2,0,0.12,0.00,0.12,0.12,0.12
Michal Surzyn,cz CZE,DF,FK Pardubice,23-125,1997,13,13,"1,045",2,1,0,0,2,0,0.17,0.09,0.26,0.17,0.26
Martin Šustr,cz CZE,GK,Zbrojovka Brno,30-102,1990,6,6,540,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Václav Svoboda,cz CZE,DF,Příbram,21-119,1999,10,6,621,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jaroslav Svozil,cz CZE,DF,Baník Ostrava,27-126,1993,8,8,675,1,0,0,0,2,0,0.13,0.00,0.13,0.13,0.13
Laco Takács,cz CZE,DF,Slavia Prague,24-182,1996,6,2,234,1,0,0,0,0,0,0.38,0.00,0.38,0.38,0.38
Maksym Talovierov,ua UKR,MF,České Budĕjov.,20-199,2000,10,9,754,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
Aleksei Tatayev,ru RUS,DF,Mladá Boleslav,22-097,1998,14,14,"1,230",2,1,0,0,2,0,0.15,0.07,0.22,0.15,0.22
Rafael Tavares,br BRA,MF,Karviná,20-201,2000,4,1,140,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Stanislav Tecl,cz CZE,FW,Slavia Prague,30-134,1990,11,3,345,3,0,0,0,1,0,0.78,0.00,0.78,0.78,0.78
Daniel Tetour,cz CZE,MF,Baník Ostrava,26-180,1994,11,10,897,1,3,0,0,0,0,0.10,0.30,0.40,0.10,0.40
Jiří Texl,cz CZE,MF,Opava,28-010,1993,9,9,657,0,1,0,0,1,0,0.00,0.14,0.14,0.00,0.14
Christ Tiéhi,ci CIV,FW,Opava,22-211,1998,5,5,450,0,0,0,1,1,0,0.00,0.00,0.00,0.00,0.00
Mohamed Tijani,ci CIV,DF,Slovan Liberec,23-187,1997,8,8,720,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Muhamed Tijani,ng NGA,FW,Baník Ostrava,20-171,2000,10,3,299,1,0,0,0,1,0,0.30,0.00,0.30,0.30,0.30
Emil Tischler,cz CZE,MF,FK Pardubice,22-306,1998,12,12,"1,021",4,0,0,0,3,0,0.35,0.00,0.35,0.35,0.35
Michal Tomič,sk SVK,MF,Slovácko,21-289,1999,3,0,44,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Martin Toml,cz CZE,DF,FK Pardubice,24-294,1996,14,14,"1,260",1,0,0,0,0,0,0.07,0.00,0.07,0.07,0.07
Ibrahim Traoré,ci CIV,MF,Slavia Prague,32-119,1988,11,5,599,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Michal Trávník,cz CZE,MF,Sparta Prague,26-241,1994,9,3,331,0,1,0,0,0,0,0.00,0.27,0.27,0.00,0.27
Jaroslav Tregler,cz CZE,DF,Příbram,25-043,1995,8,6,574,1,0,0,0,0,0,0.16,0.00,0.16,0.16,0.16
Daniel Trubač,cz CZE,MF,Teplice,23-180,1997,14,14,"1,129",2,1,0,0,2,0,0.16,0.08,0.24,0.16,0.24
Marco Tulio,br BRA,DF,Mladá Boleslav,22-227,1998,13,12,"1,062",1,0,0,0,3,0,0.08,0.00,0.08,0.08,0.08
Filip Twardzik,cz CZE,MF,Karviná,27-338,1993,9,8,687,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Kamil Vacek,cz CZE,MF,Bohemians 1905,33-240,1987,11,9,679,1,0,0,0,2,0,0.13,0.00,0.13,0.13,0.13
Jonáš Vais,cz CZE,MF,Příbram,21-050,1999,11,4,362,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Matej Valenta,cz CZE,MF,České Budĕjov.,20-339,2000,6,1,125,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Ondřej Vaněk,cz CZE,MF,Zbrojovka Brno,30-172,1990,10,8,741,1,1,1,1,1,0,0.12,0.12,0.24,0.00,0.12
Antonín Vaníček,cz CZE,MF,Bohemians 1905,22-266,1998,12,11,933,1,3,0,0,2,0,0.10,0.29,0.39,0.10,0.39
Stanislav Vávra,cz CZE,MF,Příbram,27-177,1993,13,12,943,2,0,0,0,2,0,0.19,0.00,0.19,0.19,0.19
Dalibor Večerka,cz CZE,DF,Opava,17-307,2003,9,9,758,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Oliver Velich,cz CZE,FW,Jablonec,19-215,2001,1,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Michal Vepřek,cz CZE,DF,Sigma Olomouc,35-210,1985,5,4,363,0,1,0,0,1,0,0.00,0.25,0.25,0.00,0.25
Stefan Vilotic,rs SRB,DF,Příbram,21-089,1999,3,2,187,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Andreas Vindheim,no NOR,DF,Sparta Prague,25-162,1995,10,9,787,1,3,0,0,1,0,0.11,0.34,0.46,0.11,0.46
Marek Vintr,cz CZE,MF,Zbrojovka Brno,23-165,1997,5,0,140,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Matěj Vít,cz CZE,MF,FK Pardubice,19-175,2001,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Martin Vlachovsky,cz CZE,MF,Karviná,20-046,2000,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jan Vodháněl,cz CZE,MF,Bohemians 1905,23-263,1997,1,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Radek Voltr,cz CZE,FW,Příbram,29-046,1991,6,5,479,1,2,0,0,0,0,0.19,0.38,0.56,0.19,0.56
Jan Vondra,cz CZE,DF,Bohemians 1905,25-122,1995,9,6,550,0,1,0,0,2,0,0.00,0.16,0.16,0.00,0.16
Tomáš Vondrášek,cz CZE,DF,Teplice,33-079,1987,10,8,724,0,1,0,0,1,1,0.00,0.12,0.12,0.00,0.12
Vojtěch Vorel,cz CZE,GK,České Budĕjov.,24-209,1996,2,2,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jakub Vrana,cz CZE,MF,Opava,19-354,2001,1,0,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lukáš Vraštil,cz CZE,DF,Fastav Zlín,26-309,1994,2,2,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Vukadin Vukadinović,rs SRB,MF,Teplice,30-030,1990,9,6,496,0,1,0,0,2,0,0.00,0.18,0.18,0.00,0.18
Nataniel Wybraniec,pl POL,MF,Opava,20-018,2000,1,0,4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jakub Yunis,cz CZE,FW,Sigma Olomouc,24-294,1996,4,3,211,2,0,0,0,0,0,0.85,0.00,0.85,0.85,0.85
Abdulla Yusuf Helal,bh BHR,FW,Slovan Liberec,27-215,1993,9,5,377,1,0,0,0,2,0,0.24,0.00,0.24,0.24,0.24
Tomáš Zahradníček,cz CZE,MF,Sigma Olomouc,27-155,1993,13,6,529,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ondřej Zahustel,cz CZE,MF,Mladá Boleslav,29-209,1991,13,13,"1,085",2,0,0,0,0,0,0.17,0.00,0.17,0.17,0.17
Tomáš Zajíc,cz CZE,FW,Baník Ostrava,24-154,1996,9,6,455,3,1,0,0,0,0,0.59,0.20,0.79,0.59,0.79
Pavel Zavadil,cz CZE,MF,Opava,42-258,1978,8,8,628,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jaroslav Zelený,cz CZE,DF,Jablonec,28-146,1992,14,12,"1,090",3,0,0,0,0,0,0.25,0.00,0.25,0.25,0.25
Jan Zidek,cz CZE,DF,Opava,36-044,1984,11,11,990,2,0,1,2,3,0,0.18,0.00,0.18,0.09,0.09
Pavel Zifčák,cz CZE,FW,Sigma Olomouc,21-317,1999,10,1,194,1,0,0,0,0,0,0.46,0.00,0.46,0.46,0.46
David Zima,cz CZE,DF,Slavia Prague,20-066,2000,10,10,886,0,1,0,0,0,0,0.00,0.10,0.10,0.00,0.10
Patrik Žitný,cz CZE,MF,Teplice,21-358,1999,11,9,809,1,0,0,0,3,0,0.11,0.00,0.11,0.11,0.11
Ondřej Zmrzlý,cz CZE,MF,Sigma Olomouc,21-266,1999,8,8,623,1,0,0,0,0,0,0.14,0.00,0.14,0.14,0.14
Filip Zorvan,cz CZE,MF,Příbram,24-281,1996,8,7,589,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Bojan Đorđić,ba BIH,FW,Opava,26-232,1994,11,9,730,0,1,0,0,2,0,0.00,0.12,0.12,0.00,0.12
